perl-goo-canvas 0.06-11
perl-json-xs 4.0-3
persepolis 3.2.0-4
phpstorm 2019.2.4b192.7142.41-1
phpstorm-jre 2019.2.4b192.7142.41-1
pkgconf 1.6.3-4
pkgstats 2.4.2-2
plasma-browser-integration 5.18.5-1
plasma-desktop 5.18.5-2
plasma-integration 5.18.5-1
plasma-nm 5.18.5-1
plasma-pa 5.18.5-1
plasma-sdk 5.18.5-1
plasma-vault 5.18.5-1
plasma-workspace 5.18.5-2
plasma-workspace-wallpapers 5.18.5-1
polkit-kde-agent 5.18.5-1
postman-bin 7.24.0-1
powerdevil 5.18.5-1
powerline-fonts 2.8-1
procps-ng 3.3.16-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
python-pip 20.0.2-1
python-pyaml 20.4.0-2
python2-pip 20.0.2-1
python2-pyaml 20.4.0-1
quassel-monolithic 0.13.1-2
qutebrowser 1.11.1-1
ranger 1.9.3-1
redshift 1.12-3
reflector 2020.3.21.2-1
reiserfsprogs 3.6.27-3
rsync 3.1.3-3
ruby 2.7.1-2
rxvt-unicode-patched 9.22-11
s-nail 14.9.19-1
scribus 1.5.5-11
scrot 1.2-1
sddm-kcm 5.18.5-1
sed 4.8-1
shadow 4.8.1-1
sierrabreeze-kwin-decoration-git r60.ca6e144-1
skim 0.8.1-1
sl 5.02-5
snapd 2.45-3
spectacle 20.04.1-1
spotify-dev 1.1.26.501-1
squashfs-tools 4.4-1
st-luke-git 0.8.2.r1132.fdf3989-1
stow 2.3.1-2
strace 5.6-1
sublime-merge 1119-1
sublime-text 3211-1
sudo 1.8.31.p1-1
sysfsutils 2.1.0-11
systemd 245.5-2
systemd-sysvcompat 245.5-2
systemsettings 5.18.5-1
tar 1.32-3
tcpdump 4.9.3-2
tela-icon-theme 2020.05.12-1
telegram-desktop 2.1.6-1
terminology 1.6.0-1
terminus-font 4.48-1
texinfo 6.7-3
the_silver_searcher 2.2.0-1
thunderbird 68.8.0-1
tig 2.5.1-1
tk 8.6.10-2
tldr++ 0.6.1-5
tmate 2.4.0-1
tmux 3.1_b-1
tmuxinator 1.1.5-1
tor-browser 9.0.10-1
traceroute 2.1.0-5
transmission-qt 2.94-3
ttf-anonymous-pro 1.003-4
ttf-bitstream-vera 1.10-13
ttf-caladea 20130214-3
ttf-carlito 20130920-5
ttf-dejavu 2.37-3
ttf-droid 20121017-7
ttf-envy-code-r preview7-6
ttf-fira-code 4-1
ttf-font-awesome 5.13.0-1
ttf-font-awesome-4 4.7.0-5
ttf-inconsolata 1:3.000-2
ttf-iosevka 3.0.1-1
ttf-liberation 2.1.0-1
ttf-linux-libertine 5.3.0-5
ttf-monaco 6.1-3
ttf-ms-fonts 2.0-10
ttf-ubuntu-font-family 0.83-5
tunnelbear 1.0-2
tweetdeck-desktop 1.0.0-1
uget 2.2.3-1
